ProductName,ProductStock,ProductDescription,ProductBasePrice,ProductSalePrice,ImageURL,Cat,Image-src,Date
"ASUS UX5400ZB-I716512G0W Zenbook 14X OLED Intel Core i7-1260P 4.70GHz 12-Core 14"" 2.8K (2880x1800) Touch 90Hz OLED Glossy Display 16GB (On-Board) LPDDR5 NVIDIA GeForce MX550 2GB GDDR6 512GB M.2 NVMe SSD Windows 11 Home Pine Grey Notebook",In stock with Supplier,In stock with Supplier,"R33,349.00","R31,999.00",https://www.wootware.co.za/asus-ux5400zb-i716512g0w-zenbook-14x-oled-intel-core-i7-1260p-4-70ghz-12-core-14-2-8k-2880x1800-touch-90hz-oled-glossy-display-16gb-on-board-lpddr5-nvidia-geforce-mx550-2gb-gddr6-512gb-m-2-nvme-ssd-windows-11-home-pine-grey-notebook.html,Notebooks,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/s/asus-ux5400-zenbook-14x_1__1.jpg,"2015, 12, 25, 0, 0, 0, 0"
Sabrent SB-RKTG-1TB Rocket 4 Plus G 1TB M.2 2280 PCIe 4.0 x4 NVMe SSD,In stock with Wootware,In stock with Wootware,"R3,999.00","R3,499.00",https://www.wootware.co.za/sabrent-sb-rktg-1tb-rocket-4-plus-g-1tb-m-2-2280-pcie-4-0-x4-nvme-ssd.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/s/b/sb-rktg-1tb.jpg,"2015, 12, 25, 0, 0, 0, 0"
Phanteks PH-EC360ATG_DBK02 ECLIPSE G360A Black Tempered Glass Steel E-ATX Mid Tower Desktop Chassis,In stock with Wootware,In stock with Wootware,"R2,299.00","R1,829.00",https://www.wootware.co.za/phanteks-ph-ec360atg-dbk02-eclipse-g360a-black-tempered-glass-steel-e-atx-mid-tower-desktop-chassis.html,Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/g/3/g360a_black_01-uq7dhohs.jpg,"2015, 12, 25, 0, 0, 0, 0"
"Dell S3422DWG 34"" UWQHD (3440x1440) 144Hz 2ms VA AMD FreeSync Premium Pro VESA Display HDR 400 1800R Curved Gaming Desktop Monitor",In stock with Wootware,In stock with Wootware,"R10,999.00","R9,199.00",https://www.wootware.co.za/dell-s3422dwg-34-uwqhd-3440x1440-144hz-2ms-va-amd-freesync-premium-pro-vesa-display-hdr-400-1800r-curved-gaming-desktop-monitor.html,Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/d/e/dell_s3422dwg_01-1zrqzcgs.jpg,"2015, 12, 25, 0, 0, 0, 0"
Super Flower SF-1200F14MP Leadex 1200W 80 Plus Platinum Certified Fully Modular Black Desktop Power Supply,In stock with Wootware,In stock with Wootware,"R4,099.00","R3,299.00",https://www.wootware.co.za/super-flower-sf-1200f14mp-leadex-1200w-80-plus-platinum-certified-fully-modular-black-desktop-power-supply.html,PSUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/w/o/wo_sf-1200f14mp_bk_.jpg,"2015, 12, 25, 0, 0, 0, 0"
Super Flower SF-850F14MP Leadex 850W 80 Plus Platinum Certified Fully Modular Black Desktop Power Supply,In stock with Wootware,In stock with Wootware,"R3,129.00","R2,199.00",https://www.wootware.co.za/super-flower-sf-850f14mp-leadex-850w-80-plus-platinum-certified-fully-modular-black-desktop-power-supply.html,Other,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/8/5/850w-platinum-image-1.jpg,"2015, 12, 25, 0, 0, 0, 0"
G.Skill F4-3200C16D-32GVK Ripjaws V 32GB (2x16GB) DDR4-3200MHz CL16 1.35V Black Desktop Memory,In stock with Wootware,In stock with Wootware,"R1,829.00","R1,699.00",https://www.wootware.co.za/g-skill-f4-3200c16d-32gvk-ripjaws-v-32gb-2x16gb-ddr4-3200mhz-cl16-1-35v-black-desktop-memory.html,Memory,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/9/8/9804909_2.png,"2015, 12, 25, 0, 0, 0, 0"
Mushkin MKNSSDTS256GB-D8 Tempest 256GB PCIe 3.0 x4 NVMe M.2 2280 Solid State Drive,In stock with Wootware,In stock with Wootware,R739.00,R429.00,https://www.wootware.co.za/mushkin-mknssdts256gb-d8-tempest-256gb-pcie-3-0-x4-nvme-m-2-2280-solid-state-drive.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/t/e/tempest_256gb_mknssdts256gb_d8_f-ikasougs.jpg,"2015, 12, 25, 0, 0, 0, 0"
"ASUS B5402CEA-I58512B0X ExpertBook B5 Intel Core i5-1155G7 4.50 GHz 4-Core 14"" Full HD(1920x1080) Anti Glare 8GB DDR4(Onboard) 512GB PCIe NVMe M.2 SSD Windows 11 Pro 64-Bit  Star Black Laptop",In stock with Supplier,In stock with Supplier,"R20,363.00","R19,563.00",https://www.wootware.co.za/asus-b5402cea-i58512b0x-expertbook-b5-intel-core-i5-1155g7-4-50-ghz-4-core-14-full-hd-1920x1080-anti-glare-8gb-ddr4-onboard-512gb-pcie-nvme-m-2-ssd-windows-11-pro-64-bit-star-black-laptop.html,Notebooks,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/1/-/1-5yfrvhhs.jpg,"2015, 12, 25, 0, 0, 0, 0"
WD Green WDS240G2G0C SN350 240GB TLC M.2 2280 PCIe 3.0 NVMe Solid State Drive,In stock with Supplier,In stock with Supplier,R601.00,R479.00,https://www.wootware.co.za/wd-green-wds240g2g0c-sn350-240gb-tlc-m-2-2280-pcie-3-0-nvme-solid-state-drive.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/w/d/wd-green-sn350-nvme-ssd-240gb_1_.jpg,"2015, 12, 25, 0, 0, 0, 0"
AMD 100-100000263BOX Ryzen 7 5700G 8-Core 3.8GHz (4.6GHz Boost) Socket AM4 Desktop APU,In stock with Wootware,In stock with Wootware,"R6,949.00","R4,249.00",https://www.wootware.co.za/amd-100-100000263box-ryzen-7-5700g-octa-core-3-8ghz-4-6ghz-boost-socket-am4-desktop-apu.html,CPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/m/amd-ryzen-7-5000g-series-01.jpg,"2015, 12, 25, 0, 0, 0, 0"
G.Skill F4-3000C16D-16GISB Aegis 16GB (2x8GB) DDR4-3000MHz CL16 1.35V Black Desktop Memory,In stock with Wootware,In stock with Wootware,R899.00,R829.00,https://www.wootware.co.za/g-skill-f4-3000c16d-16gisb-aegis-16gb-2x8gb-ddr4-3000mhz-cl16-1-35v-black-desktop-memory.html,Memory,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/g/_/g.skill-f4-3000c16d-16gisb-01.jpg,"2015, 12, 25, 0, 0, 0, 0"
"ASUS VG27AQZ TUF Gaming 27"" WQHD (2560x1440) 165Hz 1ms IPS HDR10 Gaming Desktop Monitor",In stock with Supplier,In stock with Supplier,"R9,099.00","R8,999.00",https://www.wootware.co.za/asus-vg27aqz-tuf-gaming-27-wqhd-2560x1440-165hz-1ms-ips-hdr10-gaming-desktop-monitor.html,Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_vg27aqz_01-rmccynhs.jpg,"2015, 12, 25, 0, 0, 0, 0"
