VendorSite,ProductName,ProductStock,ProductBasePrice,ProductSalePrice,linked-href,Cat,Image-src,ProductShortDescription,DataBatchNumber,Visible
https://www.wootware.co.za/sale,"ASUS UX5400ZB-I716512G0W Zenbook 14X OLED Intel Core i7-1260P 4.70GHz 12-Core 14"" 2.8K (2880x1800) Touch 90Hz OLED Glossy Display 16GB (On-Board) LPDDR5 NVIDIA GeForce MX550 2GB GDDR6 512GB M.2 NVMe SSD Windows 11 Home Pine Grey Notebook",In stock with Supplier,"33,349.00","31,999.00",https://www.wootware.co.za/asus-ux5400zb-i716512g0w-zenbook-14x-oled-intel-core-i7-1260p-4-70ghz-12-core-14-2-8k-2880x1800-touch-90hz-oled-glossy-display-16gb-on-board-lpddr5-nvidia-geforce-mx550-2gb-gddr6-512gb-m-2-nvme-ssd-windows-11-home-pine-grey-notebook.html,Notebooks,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/s/asus-ux5400-zenbook-14x_1__1.jpg," Intel Core i71260P 2.10GHz Processor (18MB SmartCache)

 Up to 4.70GHz Boost Clock

 4 Performance Cores, 8 Efficiency Cores

 12 Cores, 16 Threads

 14"" 2.8K (2880x1800) Touch 90Hz OLED Glossy Display

 NVIDIA GeForce MX550 2GB GDDR6 Graphics

 16GB (OnBoard) LPDDR5

 1x 512GB M.2 2280 PCIe 4.0 x4 NVMe SSD

 2x Thunderbolt 4.0 USB TypeC Ports

 1x USB 3.2 Gen 2 10Gbps TypeA

 1x MicroSD Card Reader

 1x HDMI 2.1, 1x 3.5mm Combination Audio Jack

 WiFi 6 802.11ax 2x2 MIMO DualBand, Bluetooth 5.0

 Colour: Pine Grey

 Windows 11 Home 64bit

 English International Backlit Chiclet Keyboard

 ASUS ScreenPad 2.0 Secondary Display

 Includes ASUS Notebook Sleeve & USB TypeA RJ45 Adapter

 1 Year CarryIn Warranty",2023,Visible
https://www.wootware.co.za/sale,Sabrent SB-RKTG-1TB Rocket 4 Plus G 1TB M.2 2280 PCIe 4.0 x4 NVMe SSD,In stock In Stock,"3,999.00","3,499.00",https://www.wootware.co.za/sabrent-sb-rktg-1tb-rocket-4-plus-g-1tb-m-2-2280-pcie-4-0-x4-nvme-ssd.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/s/b/sb-rktg-1tb.jpg," 1TB NVMe Solid State Drive

 M.2 2280 Form Factor

 Micron 3D TLC NAND Technology

 Phison PCIe Gen 4 Controller

 PCIe Gen4 x4 Interface

 Sequential Read Speed: Up to 7.3GB/s

 Sequential Write Speed: Up to 6.0GB/s

 Microsoft Windows Direct Storage Ready

 Designed for Gaming

 Sabrent O₂ GO Firmware

 5 Year Warranty or 700TBW (Free and Fast Online Registration Required)",2023,Visible
https://www.wootware.co.za/sale,Phanteks PH-EC360ATG_DBK02 ECLIPSE G360A Black Tempered Glass Steel E-ATX Mid Tower Desktop Chassis,In stock In Stock,"2,299.00","1,829.00",https://www.wootware.co.za/phanteks-ph-ec360atg-dbk02-eclipse-g360a-black-tempered-glass-steel-e-atx-mid-tower-desktop-chassis.html,Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/g/3/g360a_black_01-uq7dhohs.jpg," High Airflow Design

 Steel Chassis

 Tempered Glass Side Panels

 Mid Tower Form Factor

 Colour: Black

 Supports EATX, ATX, MicroATX, MiniITX Motherboards

 2x 3.5"", 3x 2.5"" Drive Bays Supported

 2x USB 3.0 TypeA

 DRGB Mode Button, DRGB Colour Button

 Power Button

 Audio Combo Jack

 Radiator Maximum Supported Length: Up To 360mm (Front, Top)

 CPU Cooler Clearance: 162mm

 Maximum GPU Length: 400mm

 Ultrafine Performance Mesh

 Integrated & Expandable DRGB Lighting

 3x 120mm DRGB PWM Fans Included

 2x 3.5"" HDD Brackets Included

 2x 2.5"" SSD Brackets Included

 5 Year Warranty",2023,Visible
https://www.wootware.co.za/sale,"Dell S3422DWG 34"" UWQHD (3440x1440) 144Hz 2ms VA AMD FreeSync Premium Pro VESA Display HDR 400 1800R Curved Gaming Desktop Monitor",In stock In Stock,"10,999.00","9,199.00",https://www.wootware.co.za/dell-s3422dwg-34-uwqhd-3440x1440-144hz-2ms-va-amd-freesync-premium-pro-vesa-display-hdr-400-1800r-curved-gaming-desktop-monitor.html,Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/d/e/dell_s3422dwg_01-1zrqzcgs.jpg," 34"" VA (Vertical Alignment) Panel

 2x HDMI, 1x DisplayPort v1.4

 UWQHD(3440x1440) Resolution

 144Hz Refresh Rate

 3000:1 Contrast Ratio

 Brightness: 400cd/m²

 VESA DisplayHDR 400

 AMD FreeSync Premium Pro

 178°/178° Viewing Angles

 90% DCIP3, 99% sRGB Colour Coverage

 Tilt & Height Adjustment

 2ms (GtG) Response Time

 3 Year Warranty",2023,Visible
https://www.wootware.co.za/sale,Super Flower SF-1200F14MP Leadex 1200W 80 Plus Platinum Certified Fully Modular Black Desktop Power Supply,In stock In Stock,"4,099.00","3,299.00",https://www.wootware.co.za/super-flower-sf-1200f14mp-leadex-1200w-80-plus-platinum-certified-fully-modular-black-desktop-power-supply.html,PSUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/w/o/wo_sf-1200f14mp_bk_.jpg," 1200W

 100% Fully Modular cabling designed for easy cable management

 80 PLUS Platinum Certified , 91.07%, 92.44% and 90.47% Efficiency At 20%, 50% and 100% Rated Load respectively.

 To view the 80+ Certification information, please see: SF1200F14MP

 Supports All Intel/AMD MultiCore CPUs & ATX/BTX Compatible Motherboards

 Support NVIDIA SLI & ATI CrossFireX High Performance Graphics Cards

 Unleaded Green Materials with RoHS/WEEE Compliance

 Haswell Extreme Low Power States Supported

 5 Year Manufacturer Warranty

 From the award winning Leadex Platinum series

 South African 3prong powercable included

 Editor's Choice Award (9.6/10 Rating) From TechPowerUp: Read the full review here",2023,Visible
https://www.wootware.co.za/sale,Super Flower SF-850F14MP Leadex 850W 80 Plus Platinum Certified Fully Modular Black Desktop Power Supply,In stock In Stock,"3,129.00","2,199.00",https://www.wootware.co.za/super-flower-sf-850f14mp-leadex-850w-80-plus-platinum-certified-fully-modular-black-desktop-power-supply.html,Other,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/8/5/850w-platinum-image-1.jpg," 850W

 100% Fully Modular Cabling Design For Easy Cable Management

 80 PLUS Platinum Certified 90% 92% 89% Efficiency At 20% 50% 100% Rated Load

 Complies with ATX 12V. V2.2, EPS 12V. V2.91 & SSI EPS 12V. V2.92 Specification

 Supports All Intel/AMD MultiCore CPU & ATX/BTX Compatible Motherboards

 .Supports NVIDIA SLI & AMD CrossFireX High Performance Graphic Cards

 Unleaded Green Materials with RoHS/WEEE Compliance

 Haswell Extreme Low Power States Supported

 5 Year Manufacturers Warranty

 From the award winning Leadex Platinum series

 South African 3prong powercable included",2023,Visible
https://www.wootware.co.za/sale,G.Skill F4-3200C16D-32GVK Ripjaws V 32GB (2x16GB) DDR4-3200MHz CL16 1.35V Black Desktop Memory,In stock In Stock,"1,829.00","1,699.00",https://www.wootware.co.za/g-skill-f4-3200c16d-32gvk-ripjaws-v-32gb-2x16gb-ddr4-3200mhz-cl16-1-35v-black-desktop-memory.html,Memory,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/9/8/9804909_2.png," 32GB (2x16GB)

 DDR43200MHz

 1.35V

 CL16

 288pin DIMM

 Intel eXtreme Memory Profile 2.0 

 Dual Channel Kit 

 Compatible with Intel Z370, Z270 and X299.

 Compatible with AMD X570 and X470.

 Limited Lifetime Warranty

View the Qualified Vendors List for this product Here",2023,Visible
https://www.wootware.co.za/sale,Mushkin MKNSSDTS256GB-D8 Tempest 256GB PCIe 3.0 x4 NVMe M.2 2280 Solid State Drive,In stock In Stock,739.00,429.00,https://www.wootware.co.za/mushkin-mknssdts256gb-d8-tempest-256gb-pcie-3-0-x4-nvme-m-2-2280-solid-state-drive.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/t/e/tempest_256gb_mknssdts256gb_d8_f-ikasougs.jpg," 256GB Storage Capacity

 M.2 (2280) Form Factor

 PCIe NVMe Interface

 Sequential Read Speed: Up to 3,100 MB/s

 Sequential Write Speed: Up to 1,400 MB/s

 Mushkin Enhanced Data Protection Suite

 MTBF: Up to 1.5M Hours

 3 Year Limited Warranty Or 125TBW",2023,Visible
https://www.wootware.co.za/sale,"ASUS B5402CEA-I58512B0X ExpertBook B5 Intel Core i5-1155G7 4.50 GHz 4-Core 14"" Full HD(1920x1080) Anti Glare 8GB DDR4(Onboard) 512GB PCIe NVMe M.2 SSD Windows 11 Pro 64-Bit  Star Black Laptop",In stock with Supplier,"20,363.00","19,563.00",https://www.wootware.co.za/asus-b5402cea-i58512b0x-expertbook-b5-intel-core-i5-1155g7-4-50-ghz-4-core-14-full-hd-1920x1080-anti-glare-8gb-ddr4-onboard-512gb-pcie-nvme-m-2-ssd-windows-11-pro-64-bit-star-black-laptop.html,Notebooks,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/1/-/1-5yfrvhhs.jpg," Intel Core i71155G7 4.50GHz (8MB SmartCache)

 Up to 4.50GHz Turbo Clock

 4 Cores, 8 Threads

 14.0"" Full HD (1920x1080) 400 Nits LCD Display

 Intel UHD Graphics

 8GB (8GB Onboard) DDR4 Memory

 1x 512GB PCIe 3.0 x2 NVMe M.2 SSD

 1x USB 2.0 TypeA, 2x USB 3.2 Gen2 TypeA, 2x Thunderbolt 4

 UltraHigh Speed SSD

 720p HD IR Webcam w/ Privacy Cover

 Gigabit (10/100/1000) LAN Port

 Intel WiFi 6 (802.11ax) Dual Band Wireless

 Windows 11 Pro 64bit

 Colour: Star Black

 1 Year Warranty",2023,Visible
https://www.wootware.co.za/sale,WD Green WDS240G2G0C SN350 240GB TLC M.2 2280 PCIe 3.0 NVMe Solid State Drive,In stock with Supplier,601.00,479.00,https://www.wootware.co.za/wd-green-wds240g2g0c-sn350-240gb-tlc-m-2-2280-pcie-3-0-nvme-solid-state-drive.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/w/d/wd-green-sn350-nvme-ssd-240gb_1_.jpg," 240GB Solid State Drive

 Form Factor: M.2 2280

 Interface: PCIe 3.0 NVMe

 Sequential Read Speed: Up to 2400MB/s

 Sequential Write Speed: Up to 900MB/s

 Endurance Rating: 40TBW

 MTTF: Up to 1M Hours

 Western Digital Dashboard Software

 3 Year Warranty",2023,Visible
