ProductName,ProductStock,ProductBasePrice,ProductSalePrice,ProductCategory,ProductImgURL,ProductShortDescription
"ASUS UX5400ZB-I716512G0W Zenbook 14X OLED Intel Core i7-1260P 4.70GHz 12-Core 14"" 2.8K (2880x1800) Touch 90Hz OLED Glossy Display 16GB (On-Board) LPDDR5 NVIDIA GeForce MX550 2GB GDDR6 512GB M.2 NVMe SSD Windows 11 Home Pine Grey Notebook",In stock with Supplier,"R33,349.00","R31,999.00",Notebooks,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/s/asus-ux5400-zenbook-14x_1__1.jpg,"- Intel Core i7-1260P 2.10GHz Processor (18MB SmartCache)

- Up to 4.70GHz Boost Clock

- 4 Performance Cores, 8 Efficiency Cores

- 12 Cores, 16 Threads

- 14"" 2.8K (2880x1800) Touch 90Hz OLED Glossy Display

- NVIDIA GeForce MX550 2GB GDDR6 Graphics

- 16GB (On-Board) LPDDR5

- 1x 512GB M.2 2280 PCIe 4.0 x4 NVMe SSD

- 2x Thunderbolt 4.0 USB Type-C Ports

- 1x USB 3.2 Gen 2 10Gbps Type-A

- 1x MicroSD Card Reader

- 1x HDMI 2.1, 1x 3.5mm Combination Audio Jack

- WiFi 6 802.11ax 2x2 MIMO Dual-Band, Bluetooth 5.0

- Colour: Pine Grey

- Windows 11 Home 64-bit

- English International Backlit Chiclet Keyboard

- ASUS ScreenPad 2.0 Secondary Display

- Includes ASUS Notebook Sleeve & USB Type-A RJ-45 Adapter

- 1 Year Carry-In Warranty"
Sabrent SB-RKTG-1TB Rocket 4 Plus G 1TB M.2 2280 PCIe 4.0 x4 NVMe SSD,In stock with Wootware,"R3,999.00","R3,499.00",SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/s/b/sb-rktg-1tb.jpg,"- 1TB NVMe Solid State Drive

- M.2 2280 Form Factor

- Micron 3D TLC NAND Technology

- Phison PCIe Gen 4 Controller

- PCIe Gen4 x4 Interface

- Sequential Read Speed: Up to 7.3GB/s

- Sequential Write Speed: Up to 6.0GB/s

- Microsoft Windows Direct Storage Ready

- Designed for Gaming

- Sabrent O₂ GO Firmware

- 5 Year Warranty or 700TBW (Free and Fast Online Registration Required)"
Phanteks PH-EC360ATG_DBK02 ECLIPSE G360A Black Tempered Glass Steel E-ATX Mid Tower Desktop Chassis,In stock with Wootware,"R2,299.00","R1,829.00",Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/g/3/g360a_black_01-uq7dhohs.jpg,"- High Airflow Design

- Steel Chassis

- Tempered Glass Side Panels

- Mid Tower Form Factor

- Colour: Black

- Supports E-ATX, ATX, Micro-ATX, Mini-ITX Motherboards

- 2x 3.5"", 3x 2.5"" Drive Bays Supported

- 2x USB 3.0 Type-A

- D-RGB Mode Button, D-RGB Colour Button

- Power Button

- Audio Combo Jack

- Radiator Maximum Supported Length: Up To 360mm (Front, Top)

- CPU Cooler Clearance: 162mm

- Maximum GPU Length: 400mm

- Ultra-fine Performance Mesh

- Integrated & Expandable D-RGB Lighting

- 3x 120mm D-RGB PWM Fans Included

- 2x 3.5"" HDD Brackets Included

- 2x 2.5"" SSD Brackets Included

- 5 Year Warranty"
"Dell S3422DWG 34"" UWQHD (3440x1440) 144Hz 2ms VA AMD FreeSync Premium Pro VESA Display HDR 400 1800R Curved Gaming Desktop Monitor",In stock with Wootware,"R10,999.00","R9,199.00",Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/d/e/dell_s3422dwg_01-1zrqzcgs.jpg,"- 34"" VA (Vertical Alignment) Panel

- 2x HDMI, 1x DisplayPort v1.4

- UWQHD(3440x1440) Resolution

- 144Hz Refresh Rate

- 3000:1 Contrast Ratio

- Brightness: 400cd/m²

- VESA DisplayHDR 400

- AMD FreeSync Premium Pro

- 178°/178° Viewing Angles

- 90% DCI-P3, 99% sRGB Colour Coverage

- Tilt & Height Adjustment

- 2ms (GtG) Response Time

- 3 Year Warranty"
Super Flower SF-1200F14MP Leadex 1200W 80 Plus Platinum Certified Fully Modular Black Desktop Power Supply,In stock with Wootware,"R4,099.00","R3,299.00",PSUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/w/o/wo_sf-1200f14mp_bk_.jpg,"- 1200W

- 100% Fully Modular cabling designed for easy cable management

- 80 PLUS Platinum Certified , 91.07%, 92.44% and 90.47% Efficiency At 20%, 50% and 100% Rated Load respectively.

- To view the 80+ Certification information, please see: SF-1200F14MP

- Supports All Intel/AMD Multi-Core CPUs & ATX/BTX Compatible Motherboards

- Support NVIDIA SLI & ATI CrossFireX High Performance Graphics Cards

- Unleaded Green Materials with RoHS/WEEE Compliance

- Haswell Extreme Low Power States Supported

- 5 Year Manufacturer Warranty

- From the award winning Leadex Platinum series

- South African 3-prong power-cable included

- Editor's Choice Award (9.6/10 Rating) From TechPowerUp: Read the full review here"
Super Flower SF-850F14MP Leadex 850W 80 Plus Platinum Certified Fully Modular Black Desktop Power Supply,In stock with Wootware,"R3,129.00","R2,199.00",Other,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/8/5/850w-platinum-image-1.jpg,"- 850W

- 100% Fully Modular Cabling Design For Easy Cable Management

- 80 PLUS Platinum Certified 90% 92% 89% Efficiency At 20% 50% 100% Rated Load

- Complies with ATX 12V. V2.2, EPS 12V. V2.91 & SSI EPS 12V. V2.92 Specification

- Supports All Intel/AMD Multi-Core CPU & ATX/BTX Compatible Motherboards

- .Supports NVIDIA SLI & AMD CrossFireX High Performance Graphic Cards

- Unleaded Green Materials with RoHS/WEEE Compliance

- Haswell Extreme Low Power States Supported

- 5 Year Manufacturers Warranty

- From the award winning Leadex Platinum series

- South African 3-prong power-cable included"
G.Skill F4-3200C16D-32GVK Ripjaws V 32GB (2x16GB) DDR4-3200MHz CL16 1.35V Black Desktop Memory,In stock with Wootware,"R1,829.00","R1,699.00",Memory,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/9/8/9804909_2.png,"- 32GB (2x16GB)

- DDR4-3200MHz

- 1.35V

- CL16

- 288-pin DIMM

- Intel eXtreme Memory Profile 2.0 

- Dual Channel Kit 

- Compatible with Intel Z370, Z270 and X299.

- Compatible with AMD X570 and X470.

- Limited Lifetime Warranty

View the Qualified Vendors List for this product Here"
Mushkin MKNSSDTS256GB-D8 Tempest 256GB PCIe 3.0 x4 NVMe M.2 2280 Solid State Drive,In stock with Wootware,R739.00,R429.00,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/t/e/tempest_256gb_mknssdts256gb_d8_f-ikasougs.jpg,"- 256GB Storage Capacity

- M.2 (2280) Form Factor

- PCIe NVMe Interface

- Sequential Read Speed: Up to 3,100 MB/s

- Sequential Write Speed: Up to 1,400 MB/s

- Mushkin Enhanced Data Protection Suite

- MTBF: Up to 1.5M Hours

- 3 Year Limited Warranty Or 125TBW"
"ASUS B5402CEA-I58512B0X ExpertBook B5 Intel Core i5-1155G7 4.50 GHz 4-Core 14"" Full HD(1920x1080) Anti Glare 8GB DDR4(Onboard) 512GB PCIe NVMe M.2 SSD Windows 11 Pro 64-Bit  Star Black Laptop",In stock with Supplier,"R20,363.00","R19,563.00",Notebooks,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/1/-/1-5yfrvhhs.jpg,"- Intel Core i7-1155G7 4.50GHz (8MB SmartCache)

- Up to 4.50GHz Turbo Clock

- 4 Cores, 8 Threads

- 14.0"" Full HD (1920x1080) 400 Nits LCD Display

- Intel UHD Graphics

- 8GB (8GB Onboard) DDR4 Memory

- 1x 512GB PCIe 3.0 x2 NVMe M.2 SSD

- 1x USB 2.0 Type-A, 2x USB 3.2 Gen2 Type-A, 2x Thunderbolt 4

- Ultra-High Speed SSD

- 720p HD IR Webcam w/ Privacy Cover

- Gigabit (10/100/1000) LAN Port

- Intel Wi-Fi 6 (802.11ax) Dual Band Wireless

- Windows 11 Pro 64-bit

- Colour: Star Black

- 1 Year Warranty"
WD Green WDS240G2G0C SN350 240GB TLC M.2 2280 PCIe 3.0 NVMe Solid State Drive,In stock with Supplier,R601.00,R479.00,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/w/d/wd-green-sn350-nvme-ssd-240gb_1_.jpg,"- 240GB Solid State Drive

- Form Factor: M.2 2280

- Interface: PCIe 3.0 NVMe

- Sequential Read Speed: Up to 2400MB/s

- Sequential Write Speed: Up to 900MB/s

- Endurance Rating: 40TBW

- MTTF: Up to 1M Hours

- Western Digital Dashboard Software

- 3 Year Warranty"
