web-scraper-start-url,ScapperProdcutId,Cat,ProductName,ProductStock,ProductBasePrice,ProductSalePrice,ProductShortDescription
"https://www.wootware.co.za/sale","DeepCool R-CC560-BKGAA4-G-1 CC560 Tempered Glass Steel Black ATX Mid-Tower Desktop Chassis","Chassis","DeepCool R-CC560-BKGAA4-G-1 CC560 Tempered Glass Steel Black ATX Mid-Tower Desktop Chassis","In stock with Wootware","R1,199.00","R899.00","- Mixed Mesh Front-Panel Mid-Tower Chassis

- Clear Tempered Glass Side Panel Window

- Supports ATX, Micro-ATX, Mini-ITX Motherboards

- 1x Front-Panel USB 5Gb/s Type-A Port

- 1x Front-Panel USB 2.0 Type-A Port

- 1x 3.5mm Combination Audio Jack

- 2x 2.5"" HDD/SSD Drive Bays

- 1x 2.5/3.5"" HDD Drive Bay (Removable)

- 7x PCI Expansion Slots

- Magnetic Top-Mount Dust Filter

- Supports Up to 6x 120mm Chassis Fans

- 4x Pre-Installed 120mm Blue LED Fans

- Radiator Support Up to 360mm

- CPU Cooler Clearance: 163mm

- GPU Cooler Clearance: 370mm

- PSU Length Clearance: 170mm

- Colour: Black

- 2 Year Warranty"
"https://www.wootware.co.za/sale","Phanteks PH-EC360ATG_DBK02 ECLIPSE G360A Black Tempered Glass Steel E-ATX Mid Tower Desktop Chassis","Chassis","Phanteks PH-EC360ATG_DBK02 ECLIPSE G360A Black Tempered Glass Steel E-ATX Mid Tower Desktop Chassis","In stock with Wootware","R2,449.00","R1,929.00","- High Airflow Design

- Steel Chassis

- Tempered Glass Side Panels

- Mid Tower Form Factor

- Colour: Black

- Supports E-ATX, ATX, Micro-ATX, Mini-ITX Motherboards

- 2x 3.5"", 3x 2.5"" Drive Bays Supported

- 2x USB 3.0 Type-A

- D-RGB Mode Button, D-RGB Colour Button

- Power Button

- Audio Combo Jack

- Radiator Maximum Supported Length: Up To 360mm (Front, Top)

- CPU Cooler Clearance: 162mm

- Maximum GPU Length: 400mm

- Ultra-fine Performance Mesh

- Integrated & Expandable D-RGB Lighting

- 3x 120mm D-RGB PWM Fans Included

- 2x 3.5"" HDD Brackets Included

- 2x 2.5"" SSD Brackets Included

- 5 Year Warranty"
"https://www.wootware.co.za/sale","Dell S3422DWG 34"" UWQHD (3440x1440) 144Hz 2ms VA AMD FreeSync Premium Pro VESA Display HDR 400 1800R Curved Gaming Desktop Monitor","Monitors","Dell S3422DWG 34"" UWQHD (3440x1440) 144Hz 2ms VA AMD FreeSync Premium Pro VESA Display HDR 400 1800R Curved Gaming Desktop Monitor","In stock with Wootware","R10,999.00","R8,999.00","- 34"" VA (Vertical Alignment) Panel

- 2x HDMI, 1x DisplayPort v1.4

- UWQHD(3440x1440) Resolution

- 144Hz Refresh Rate

- 3000:1 Contrast Ratio

- Brightness: 400cd/m²

- VESA DisplayHDR 400

- AMD FreeSync Premium Pro

- 178°/178° Viewing Angles

- 90% DCI-P3, 99% sRGB Colour Coverage

- Tilt & Height Adjustment

- 2ms (GtG) Response Time

- 3 Year Warranty"
"https://www.wootware.co.za/sale","Corsair CW-9060060-WW iCUE H150i RGB ELITE 360mm Liquid CPU Cooler","CPU Coolers","Corsair CW-9060060-WW iCUE H150i RGB ELITE 360mm Liquid CPU Cooler","In stock with Wootware","R3,699.00","R3,199.00","- iCUE H150i RGB ELITE Edition

- Triple 120mm PWM Fans

- 360mm Radiator

- Colour: Black

- Aluminium Radiator

- Refined Pump Head Design And 16 RGB LEDs

- Powerful CORSAIR iCUE Software

- Copper Cold Plate With Pre-Applied Thermal Compound

- Includes 3x Corsair AF Elite Series PWM Fans

- Intel Socket Support: 1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066

- AMD Socket Support: AMD AM5, AM4, sTRX4, sTR4

- 5 Year Warranty"
"https://www.wootware.co.za/sale","Super Flower SF-1200F14MP Leadex 1200W 80 Plus Platinum Certified Fully Modular Black Desktop Power Supply","PSUs","Super Flower SF-1200F14MP Leadex 1200W 80 Plus Platinum Certified Fully Modular Black Desktop Power Supply","In stock with Wootware","R4,599.00","R3,649.00","- 1200W

- 100% Fully Modular cabling designed for easy cable management

- 80 PLUS Platinum Certified , 91.07%, 92.44% and 90.47% Efficiency At 20%, 50% and 100% Rated Load respectively.

- To view the 80+ Certification information, please see: SF-1200F14MP

- Supports All Intel/AMD Multi-Core CPUs & ATX/BTX Compatible Motherboards

- Support NVIDIA SLI & ATI CrossFireX High Performance Graphics Cards

- Unleaded Green Materials with RoHS/WEEE Compliance

- Haswell Extreme Low Power States Supported

- 5 Year Manufacturer Warranty

- From the award winning Leadex Platinum series

- South African 3-prong power-cable included

- Editor's Choice Award (9.6/10 Rating) From TechPowerUp: Read the full review here"
"https://www.wootware.co.za/sale","DeepCool R-CC560-WHGAA4-G-1 CC560-WH Tempered Glass Steel White ATX Mid-Tower Desktop Chassis","Chassis","DeepCool R-CC560-WHGAA4-G-1 CC560-WH Tempered Glass Steel White ATX Mid-Tower Desktop Chassis","In stock with Wootware","R1,199.00","R899.00","- Mixed Mesh Front-Panel Mid-Tower Chassis

- Clear Tempered Glass Side Panel Window

- Supports ATX, Micro-ATX, Mini-ITX Motherboards

- 1x Front-Panel USB 5Gb/s Type-A Port

- 1x Front-Panel USB 2.0 Type-A Port

- 1x 3.5mm Combination Audio Jack

- 2x 2.5"" HDD/SSD Drive Bays

- 1x 2.5/3.5"" HDD Drive Bay (Removable)

- 7x PCI Expansion Slots

- Magnetic Top-Mount Dust Filter

- Supports Up to 6x 120mm Chassis Fans

- 4x Pre-Installed 120mm Blue LED Fans

- Radiator Support Up to 360mm

- CPU Cooler Clearance: 163mm

- GPU Cooler Clearance: 370mm

- PSU Length Clearance: 170mm

- Colour: White

- 2 Year Warranty"
"https://www.wootware.co.za/sale","Mushkin MKNSSDTS256GB-D8 Tempest 256GB PCIe 3.0 x4 NVMe M.2 2280 Solid State Drive","SSDs","Mushkin MKNSSDTS256GB-D8 Tempest 256GB PCIe 3.0 x4 NVMe M.2 2280 Solid State Drive","In stock with Wootware","R799.00","R459.00","- 256GB Storage Capacity

- M.2 (2280) Form Factor

- PCIe NVMe Interface

- Sequential Read Speed: Up to 3,100 MB/s

- Sequential Write Speed: Up to 1,400 MB/s

- Mushkin Enhanced Data Protection Suite

- MTBF: Up to 1.5M Hours

- 3 Year Limited Warranty Or 125TBW"
"https://www.wootware.co.za/sale","Gigabyte GA-Z790-AORUS-ELITE DDR4 Z790 AORUS ELITE DDR4 Intel Z790 Raptor Lake LGA 1700 ATX DDR4 Desktop Motherboard","Motherboards","Gigabyte GA-Z790-AORUS-ELITE DDR4 Z790 AORUS ELITE DDR4 Intel Z790 Raptor Lake LGA 1700 ATX DDR4 Desktop Motherboard","In stock with Wootware","R6,499.00","R4,999.00","- ATX Form Factor

- Intel Z790 Chipset

- Intel Socket LGA 1700

- 4x DDR4 DIMM Slots, Supports up to 128GB

- Supports up to DDR4-5333MHz(OC)

- 1x PCIe 5.0 x16 Slot, 2x PCIe 4.0 x16 Slot (Support x4 Mode)

- 4x M.2 Slots & 4x SATA 6Gb/s Ports

- 1x USB 3.2 Gen 2x2 Type-C

- 2x USB 3.2 Gen 2 Type-A Ports, 3x USB 3.2 Gen 1 Type-A ports

- 4x USB 2.0 Type-A, 1x HDMI 2.0 Port

- 1x Realtek 2.5Gb Ethernet

- Realtek Audio CODEC

- Twin 16+1+2 Phases Digital VRM

- 60A Power Stage With DrMOS

- 6-Layer 2X Copper PCB

- Advanced Thermal Design

- Integrated IO Shield

- Smart Fan 6

- 3 Year Warranty"
"https://www.wootware.co.za/sale","ID-Cooling TF-12025-PRO BLACK 120mm PWM Black Case Fan","Case Fans","ID-Cooling TF-12025-PRO BLACK 120mm PWM Black Case Fan","Stock Coming Soon","R149.00","R99.00","- 120mm Case Fan

- Colour: Black

- Airflow: 82.5 CFM Max

- Air Pressure: 2.55 mmH2O Max

- Rotational Speed: 700 - 1800 RPM

- 35.2 dB(A) Max Noise Level

- 4-Pin PWM Connector

- High Airflow

- Rubber Dampers

- Optimised Air Pressure

- Multi-Application

- 3 Year Warranty"
"https://www.wootware.co.za/sale","Sabrent SB-RKTG-1TB Rocket 4 Plus G 1TB M.2 2280 PCIe 4.0 x4 NVMe SSD","SSDs","Sabrent SB-RKTG-1TB Rocket 4 Plus G 1TB M.2 2280 PCIe 4.0 x4 NVMe SSD","In stock with Wootware","R3,449.00","R2,999.00","- 1TB NVMe Solid State Drive

- M.2 2280 Form Factor

- Micron 3D TLC NAND Technology

- Phison PCIe Gen 4 Controller

- PCIe Gen4 x4 Interface

- Sequential Read Speed: Up to 7.3GB/s

- Sequential Write Speed: Up to 6.0GB/s

- Microsoft Windows Direct Storage Ready

- Designed for Gaming

- Sabrent O₂ GO Firmware

- 5 Year Warranty or 700TBW (Free and Fast Online Registration Required)"
